id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
89,Fine Jarlsberg Omelet,Appetizer and Snacks Recipes,10.0,,5.0,,Easy,4.0,4.0,1.0,2.0,1.0,,,,,,,"medium mushrooms, sliced, 2 oz","green onion, sliced","eggs, beaten","oz Jarlsberg or Swiss cheese, shredded 1 oz ham, diced",,,,,,,"In a skillet, cook the mushrooms and green onion until tender.",Add the eggs and mix well.,"Sprinkle with salt and top with the mushroom mixture, cheese, and ham.","When the egg is set, fold the plain side of the omelet on the filled side.",Turn off the heat and let it stand until the cheese has melted.,Serve!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Fine_Jarlsberg_Omelet-Fine_Jarlsberg_Omelet.jpg,True,525.0,37.0,15.0,40.0
90,Asparagus And Baked Pork,Appetizer and Snacks Recipes,10.0,,20.0,,Easy,4.0,1.0,0.5,1.0,,,,,,,,"pound (454 g) asparagus, tough ends removed",cup roughly ground pork rinds,cup ranch dressing Pinch of sea sal,,,,,,,,"Arrange the asparagus spears in a casserole dish. Spread the pork rinds and ranch dressing over the asparagus, then season with sea salt.",Place the casserole dish in the preheated oven and bake for 18 minutes or until lightly browned.,Transfer them onto a platter and serve warm.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Asparagus_And_Baked_Pork-Asparagus_And_Baked_Pork.jpg,True,303.0,7.0,298.0,8.0
91,Spicy Fired Up Jalapeno Poppers,Appetizer and Snacks Recipes,10.0,,30.0,,Medium,4.0,5.0,0.25,8.0,0.5,8.0,,,,,,oz cream cheese,cup mozzarella cheese,medium jalapeno peppers,tsp Mrs. Dash Table Blend,slices bacon,,,,,,Preheat your oven to 400°F/200°C.,Cut the jalapenos in half.,Use a spoon to scrape out the insides of the peppers.,"In a bowl, add together the cream cheese, mozzarella cheese, and spices of your choice.",Pack the cream cheese mixture into the jalapenos and place the peppers on top.,"Wrap each pepper in 1 slice of bacon, starting from the bottom and working up.",Bake for 30 minutes. Broil for an additional 3 minutes.,Serve!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Spicy_Fired_Up_Jalapeno_Poppers-Spicy_Fired_Up_Jalapeno_Poppers.jpg,True,550.0,12.0,5.0,5.0
92,Bacon And Chicken Patties,Appetizer and Snacks Recipes,10.0,,15.0,,Medium,4.0,12.0,4.0,0.25,1.0,3.0,,,,,,oz can chicken breast,slices bacon,cup parmesan cheese,large egg,tbsp keto coconut flour,,,,,,Cook the bacon until crispy.,Chop the chicken and bacon together in a food processor until fine.,"Add in the parmesan, egg, coconut flour, and mix.",Make the patties by hand and fry on medium heat in a pan with some oil.,"Once browned, flip over, continue cooking, and lie them to drain.",Serve!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Bacon_And_Chicken_Patties-Bacon_And_Chicken_Patties.jpg,True,420.0,22.0,4.0,37.0
93,Juicy Grilled Ham And Cheese,Appetizer and Snacks Recipes,10.0,,30.0,,Medium,4.0,3.0,4.0,3.0,1.0,2.0,1.5,,,,,low-carb keto buns,slices medium-cut deli ham 1 tbsp salted butter,slices cheddar cheese 1/2 cup almond flour,tsp. baking powder,eggs. Scrambled,tablespoon coconut flour,,,,,Preheat your oven to 350°F/175°C.,"Mix the almond flour, salt, and baking powder in a bowl. Put to the side.",Add the butter and coconut oil to a skillet.,Melt for 20 seconds and pour into another bowl.,"In this bowl, mix in the dough. Scramble two eggs. Add to the dough.","Add 1/2 tablespoon of coconut flour to thicken, and place evenly into a cupcake tray. Fill about 3/4 inch.",Bake for 20 minutes until browned. Allow to cool for 15 minutes and cut each in half for the buns.,Sandwich: Fry the deli meat in a skillet on high heat. Put the ham and cheese between the buns.,"Heat the butter on medium-high. When brown, turn too low and add the dough to the pan.","Press down with weight until you smell burning, then flip to crisp  both sides. Enjoy!",https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Juicy_Grilled_Ham_And_Cheese-Juicy_Grilled_Ham_And_Cheese.jpg,True,230.0,21.0,2.0,15.0
94,Prosciutto Spinach Salad,Appetizer and Snacks Recipes,10.0,,0.0,,Medium,4.0,2.0,0.33,1.0,1.0,0.25,,,,,,cups baby spinach,lb prosciutto,cantaloupe,avocado,"cup diced red onion handful of raw, unsalted walnuts How To",,,,,,Put a cup of spinach on each plate.,"Top with the diced prosciutto, cubes of balls of melon, slices of avocado, a handful of red onion, and a few walnuts.","Add some freshly ground pepper, if you like.",Serve!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Prosciutto_Spinach_Salad-Prosciutto_Spinach_Salad.jpg,True,199.0,18.0,2.0,7.0
95,Lasagna Spaghetti Squash,Appetizer and Snacks Recipes,10.0,,80.0,,Medium,4.0,25.0,1.0,30.0,2.0,4.0,,,,,,slices mozzarella cheese,large jar (40 oz) Rao's Marinara sauce,oz whole-milk ricotta cheese,"large spaghetti squash, cooked (44 oz)",lbs ground beef,,,,,,Preheat your oven to 375°F/190°C.,Slice the spaghetti squash and place it face down inside an oven-proof dish. Fill with water until covered.,Bake for 45 minutes until the skin is soft.,Sear the meat until browned.,"In a large skillet, heat the browned meat and marinara sauce. Set aside when warm.",Scrape the flesh off the cooked squash to resemble strands of spaghetti.,"Layer the lasagna in a large greased pan in alternating layers of spaghetti squash, meat sauce, mozzarella, ricotta. Repeat until all increases have been used.",Bake for another 30 minutes and serve!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Lasagna_Spaghetti_Squash-Lasagna_Spaghetti_Squash.jpg,True,420.0,31.0,5.0,25.0
96,Blue Cheese Chicken Wedges,Appetizer and Snacks Recipes,10.0,,30.0,,Medium,4.0,2.0,4.0,2.0,0.75,,,,,,,tbsp crumbled blue cheese,strips of bacon,chicken breasts (boneless),cup of your favorite buffalo sauce,,,,,,,Boil a large pot of salted water.,Add two chicken breasts to the pot and cook for 28 minutes.,"Turn off the heat and let the chicken rest for 10 minutes. Using a fork, pull the chicken apart into strips.",Cook and cool the bacon strips and put them to the side.,"On medium heat, combine the chicken and buffalo sauce. Stir until hot.",Add the blue cheese and buffalo pulled chicken. Top with the cooked bacon crumbles.,Serve and enjoy.,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Blue_Cheese_Chicken_Wedges-Blue_Cheese_Chicken_Wedges.jpg,True,315.0,22.0,8.0,20.0
97,Feisty Bacon Snack,Appetizer and Snacks Recipes,10.0,,60.0,,Medium,4.0,30.0,12.0,10.0,4.0,,,,,,,slices thick-cut bacon,oz steak,oz beef sausage,"oz cheddar cheese, shredded",,,,,,,Lay out 5 x 6 slices of bacon in a woven pattern and bake at 400°F/200°C for 20 minutes until crisp.,"Combine the steak, bacon, and sausage to form a meaty mixture.",Lay out the meat in a rectangle of similar size to the bacon strips. Season with salt/pepper.,Place the bacon weave on top of the meat mixture.,Place the cheese in the center of the bacon.,Roll the meat into a tight roll and refrigerate.,Make a 7 x 7 bacon weave and roll the bacon weave over the meat diagonally.,Bake at 400°F/200°C for 60 minutes or 165°F/75°C internally.,Let rest for 5 minutes before serving,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Feisty_Bacon_Snack-Feisty_Bacon_Snack.jpg,True,388.0,38.0,3.0,29.0
98,Bacon And Scallops Snack,Appetizer and Snacks Recipes,10.0,,6.0,,Medium,4.0,12.0,12.0,12.0,,0.5,,,,,,scallops,thin bacon slices,toothpicks,Salt and pepper to taste,tbsp oil,,,,,,Heat a skillet on high heat while drizzling in the oil.,Wrap each scallop with a piece of thinly cut bacon—secure with a toothpick.,Season to taste.,Cook for 3 minutes per side.,Serve!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Bacon_And_Scallops_Snack-Bacon_And_Scallops_Snack.jpg,True,280.0,18.0,3.0,28.0
99,Perfect Gluten-Free Gratin,Appetizer and Snacks Recipes,10.0,,25.0,,Medium,4.0,4.0,4.0,0.3,,5.0,,,,,,cups raw cauliflower florets,tbsp butter,cup heavy whipping cream,Salt and pepper to taste,deli slices pepper jack cheese,,,,,,"Combine the cauliflower, butter, cream, salt, and pepper and microwave on medium for 20 minutes, or until tender.",Mash with a fork—season to your liking.,Lay the slices of cheese across the top of the cauliflower.,"Cook inside your microwave for an additional 3 minutes, depending on the power of your microwave",Serve!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Perfect_Gluten-Free_Gratin-Perfect_Gluten-Free_Gratin.jpg,True,175.0,15.0,3.0,5.0
100,Cheesed Up Bacon Butternut Squash,Appetizer and Snacks Recipes,10.0,,30.0,,Easy,4.0,1.0,1.5,,1.5,2.0,,,,,,tablespoon olive oil,pound sliced butternut squash,Kosher salt & Black pepper,cup grated Parmesan cheese,chopped bacon,,,,,,"Set the oven to 4250F to preheat, then grease the baking tray","Add the olive oil in a medium skillet to heat to sauté the bacon, butternut squash, and the seasonings for 2 minutes.","After 2 minutes, pour everything on the baking tray to bake for 25 minutes","Remove from the oven, sprinkle the parmesan cheese on top the bake for 10 more minutes",Serve the meal while still warm.,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cheesed_Up_Bacon_Butternut_Squash-Cheesed_Up_Bacon_Butternut_Squash.jpg,True,335.0,33.0,12.0,20.0
101,Hot Buffalo Wings,Appetizer and Snacks Recipes,10.0,,6.0,,Easy,8.0,1.0,0.5,1.0,2.0,5.0,,,,,,bottle of (12 ounces) hot pepper sauce,cup melted ghee,tablespoon dried oregano + onion powder,teaspoons garlic powder,pounds chicken wing sections,,,,,,"Take a large bowl and mix in hot sauce, ghee, garlic powder, oregano, onion powder, and mix well",Add chicken wings and toss to coat,Pour mix into Slow Cooker and cook on LOW for 6 hours,Serve and enjoy!,"Tip: If you don’t have a slow cooker, you may use an Iron-Cast Dutch Oven. The temperature is 200 Degrees F for LOW and 250 degrees F for HIGH",,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hot_Buffalo_Wings-Hot_Buffalo_Wings.jpg,True,529.0,4.0,1.0,31.0
102,A Jar Full Of Pecans,Appetizer and Snacks Recipes,10.0,,120.0,,Medium,4.0,3.0,0.25,2.0,1.0,1.0,,,,,,cups of raw pecans,cup of date paste,teaspoon of vanilla beans extract,teaspoon of sea salt,tablespoon of coconut oil,,,,,,Add all of the listed ingredients to your pot,"Cook on LOW for about 3 hours, making sure to stir it from time to time","Once done, allow it to cool and serve!",,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/A_Jar_Full_Of_Pecans-A_Jar_Full_Of_Pecans.jpg,True,337.0,31.0,16.0,4.0
103,The Exquisite Spaghetti Squash,Appetizer and Snacks Recipes,5.0,,8.0,,Easy,6.0,1.0,2.0,,,,,,,,,spaghetti squash,cups water,,,,,,,,,Wash squash carefully with water and rinse it well,Puncture 5-6 holes in the squash using a fork,Place squash in Slow Cooker,Place lid and cook on LOW for 7-8 hours,Remove squash to a cutting board and let it cool,Cut squash in half and discard seeds,Use two forks and scrape out squash strands and transfer to the bowl,Serve and enjoy!,"Tip: If you don’t have a slow cooker, you may use an Iron-Cast Dutch Oven. The temperature is 200 Degrees F for LOW and 250 degrees F for HIGH",,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Exquisite_Spaghetti_Squash-The_Exquisite_Spaghetti_Squash.jpg,True,52.0,0.0,12.0,1.0
104,Worthy Bacon-Wrapped Drumsticks,Appetizer and Snacks Recipes,10.0,,480.0,,Medium,6.0,12.0,12.0,,,,,,,,,chicken drumsticks,slices thin-cut bacon,,,,,,,,,Wrap each chicken drumsticks in bacon,Place drumsticks in your Slow Cooker,Place lid and cook on LOW for 8 hours,Serve and enjoy!,"Tip: If you don’t have a slow cooker, you may use an Iron-Cast Dutch Oven. The temperature is 200 Degrees F for LOW and 250 degrees F for HIGH",,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Worthy_Bacon-Wrapped_Drumsticks-Worthy_Bacon-Wrapped_Drumsticks.jpg,True,202.0,8.0,3.0,30.0
105,Coconut Chocolate Cookie,Appetizer and Snacks Recipes,10.0,,0.0,,Easy,4.0,4.0,0.5,0.25,0.25,,,,,,,"cups unsweetened coconut, shredded",cup coconut milk,cup sugar-free maple syrup,teaspoon almond extract,,,,,,,Blend coconut in your food processor until you have a nice texture.,Add coconut milk and syrup; keep blending until you have a nice batter.,Add more milk if the batter is a bit too crumbly.,Transfer the mixture to the mixing bowl.,Use your hand to form small balls.,"Line a baking tray with parchment paper and transfer the balls, flatten them lightly to form a cookie shape.",Sprinkle coconut on top and chill for 2-3 hour until firm,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Coconut_Chocolate_Cookie-Coconut_Chocolate_Cookie.jpg,True,40.0,4.0,2.0,1.0
106,Keto Shortbread,Appetizer and Snacks Recipes,10.0,,15.0,,Easy,4.0,0.5,1.0,2.5,6.0,,,,,,,cup Erythritol,teaspoon vanilla extract,cups almond flour,tablespoons butter,,,,,,,Pre-heat your oven to 350 degrees F.,Line cookie sheet with parchment paper,"Take a bowl and beat in butter, Erythritol and mix until it is fluffy.","Beat in vanilla extract, beat in almond flour ½ cup at a time.",Use a tablespoon to transfer the dough to a cookie sheet.,Flatten each cookie to about 1/3 inch thick.,Bake for 12-15 minutes until golden.,Let them cool and serve,Enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Keto_Shortbread-Keto_Shortbread.jpg,True,124.0,12.0,2.0,3.0
107,1 Minute Keto Muffin,Appetizer and Snacks Recipes,10.0,,1.0,,Easy,4.0,1.0,2.0,,,,,,,,,whole egg,teaspoon coconut flour,A pinch of baking soda,A pinch salt,"Coconut oil, for grease",,,,,,Grease ramekin dish with coconut oil.,Keep it aside.,Take a bowl and add ingredients and mix well.,Pour batter into a ramekin.,Place into microwave for 1 minute on HIGH.,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/1_Minute_Keto_Muffin-1_Minute_Keto_Muffin.jpg,True,102.0,5.0,3.0,7.0
108,Chilled No-Bake Lemon Cheesecake,Appetizer and Snacks Recipes,10.0,+ 60 minutes Chill Time,0.0,,Medium,4.0,8.0,2.0,1.0,,,,,,,,ounces cream cheese,ounces full-fat cream,tablespoon lemon juice,Few drops of vanilla extract,"Peel ½ lemon, grated",,,,,,"Add cream, cream cheese, and mix well.",Add the remaining ingredients.,Transfer the mixture to your fridge.,Keep it for 1 hour in the fridge.,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Chilled_No-Bake_Lemon_Cheesecake-Chilled_No-Bake_Lemon_Cheesecake.jpg,True,220.0,17.0,2.0,6.0
109,Delicious Vegetable Quiche,Appetizer and Snacks Recipes,10.0,,25.0,,Medium,4.0,1.0,6.0,3.0,1.0,0.5,1.0,10.0,,,,"tablespoon melted butter, divided",eggs,"ounces (85 g) goat cheese, divided",cup heavy whipping cream,"scallion, white and green parts, chopped","cup mushrooms, sliced","cup fresh spinach, chopped","cherry tomatoes, cut in half",,,Preheat the oven to 350°F (1802C). Coat a pie pan with 1/2 teaspoon of melted butter and set aside.,"Whisk together the eggs, 2 ounces (57 g) of goat cheese, and heavy whipping cream in a bowl until creamy and smooth, you can use a blender to make it easier. Set aside.",Heat the remaining butter in a nonstick skillet over medium-high heat. Add and saute scallion and mushrooms for 2 minutes or until tender. Add and saute the spinach for another 2 minutes or until softened.,"Pour the vegetable mixture into the pie pan, and use a spatula to spread the mixture so it covers the bottom of the pan evenly.",Pour the egg mixture over the vegetable mixture. Top them with the cherry tomato halves and remaining goat cheese.,"Place the pie pan in the preheated oven and bake for 20 minutes or until fluffy. You can check the doneness by cutting a small slit in the center, if raw eggs run into the cut, then baking for another few minutes.",Divide the quiche among four platters and serve warm.,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Delicious_Vegetable_Quiche-Delicious_Vegetable_Quiche.jpg,True,395.0,32.0,4.0,21.0
110,Fancy Rutabaga Cakes,Appetizer and Snacks Recipes,10.0,,30.0,,Medium,4.0,2.0,0.5,2.0,2.0,,,,,,,"rutabagas, thinly sliced","stick butter, melted","tablespoons fresh thyme, chopped",teaspoons salt,,,,,,,Place a saucepan over medium heat.,Add butter and let it melt.,Add thyme and stir for 2 minutes.,Take a bowl and add rutabaga slices into it and pour the mix.,Layer rutabaga slices in muffin tins and top with butter on top.,Take a foil and cover muffin tins.,Preheat your oven to 350 degrees F.,Bake for 25-30 minutes.,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Fancy_Rutabaga_Cakes-Fancy_Rutabaga_Cakes.jpg,True,46.0,3.0,1.0,0.4
111,Eggplant Fries,Appetizer and Snacks Recipes,10.0,,15.0,,Medium,4.0,2.0,2.0,2.0,2.0,,,,,,,whole eggs,cups almond flour,"tablespoons coconut oil, spray","eggplant, peeled and cut thinly",Salt and pepper to taste,,,,,,Preheat your oven to 400 degrees Fahrenheit.,Take a bowl and mix with salt and black pepper in it.,Take another bowl and beat eggs until frothy.,Dip the eggplant pieces into eggs.,Then coat them with a flour mixture.,Add another layer of flour and egg.,"Then, take a baking sheet and grease with coconut oil on top.",Bake for about 15 minutes.,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Eggplant_Fries-Eggplant_Fries.jpg,True,212.0,15.0,4.0,7.0
112,Stuffed Parmesan Cheese Avocado,Appetizer and Snacks Recipes,10.0,,15.0,,Medium,4.0,1.0,1.0,1.0,0.25,,,,,,,whole avocado,tablespoon chipotle sauce,tablespoon lime juice,cup parmesan cheese,Salt and pepper to taste,,,,,,Prepare avocado by slicing half lengthwise and discard the seed.,Gently prick the skin of the avocado with a fork.,"Set your avocado halves, skin down on the small baking sheet lined with aluminum foil.",Top with sauce and drizzle lime juice.,Season with salt and pepper.,"Sprinkle half parmesan cheese in each cavity, set your broiler to high for 2 minutes.",Add rest of the cheese and return to your broiler until cheese melts and avocado slightly browns.,Serve hot and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Stuffed_Parmesan_Cheese_Avocado-Stuffed_Parmesan_Cheese_Avocado.jpg,True,41.0,41.0,7.0,7.0
113,Orange And Coconut Creamsicles,Appetizer and Snacks Recipes,10.0,+ 3 Hours Chill Time,,,Easy,4.0,0.5,0.5,4.0,1.0,10.0,,,,,,cup of coconut oil,cup heavy whipping cream,ounces cream cheese,teaspoon orange mix,drops liquid stevia,,,,,,Add the listed ingredients to a bowl.,Use an immersion blender and blend the mixture well.,Take a silicone tray and add the mixture.,Keep in the refrigerator for 2-3 hours.,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Orange_And_Coconut_Creamsicles-Orange_And_Coconut_Creamsicles.jpg,True,176.0,20.0,0.5,0.8
114,Coffee Popsicles,Appetizer and Snacks Recipes,10.0,,0.0,,Easy,4.0,2.0,2.0,0.75,2.0,,,,,,,"tablespoons chocolate chips, sugar-free","cups coffee, brewed and cold",cup heavy whip cream,teaspoons natural sweetener,,,,,,,"Blend in heavy whip cream, sweetened, and coffee in your blender.",Mix them well.,Pour the mix into popsicle molds.,Add a few chocolate chips.,Keep in the fridge for 2 hours.,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Coffee_Popsicles-Coffee_Popsicles.jpg,True,105.0,10.0,2.0,2.0
115,Icy Berry Popsicles,Appetizer and Snacks Recipes,10.0,+ 2 Hours Chill Time,0.0,,Easy,4.0,0.25,2.0,2.0,,,,,,,,cup mixed blackberries and blueberries,cups coconut cream,teaspoons stevia,,,,,,,,Blend the listed ingredients into your blender.,Blend until smooth.,Pour the mix into popsicle molds.,Keep in the fridge for 2 hours.,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Icy_Berry_Popsicles-Icy_Berry_Popsicles.jpg,True,165.0,17.0,3.0,1.0
116,Scrambled Pesto Eggs,Appetizer and Snacks Recipes,5.0,,5.0,,Easy,4.0,3.0,1.0,1.0,2.0,,,,,,,large whole eggs,tablespoon butter,tablespoon pesto,tablespoons creamed coconut milk,Salt and pepper as needed,,,,,,Take a bowl and crack open your egg,Season with a pinch of salt and pepper,Pour eggs into a pan,Add butter and introduce heat,Cook on low heat and gently add pesto,"Once the egg is cooked and scrambled, remove heat",Spoon in coconut cream and mix well,Turn on the heat and cook on LOW for a while until you have a creamy texture,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Scrambled_Pesto_Eggs-Scrambled_Pesto_Eggs_2.jpg,True,467.0,41.0,3.0,20.0
117,Black Berry Chicken Wings,Appetizer and Snacks Recipes,35.0,,50.0,,Medium,4.0,3.0,0.5,,0.5,,,,,,,"pounds chicken wings, about 20 pieces",cup blackberry chipotle jam,Salt and pepper to taste,cup water,,,,,,,Add water and jam to a bowl and mix well,Place chicken wings in a zip bag and add two-thirds of the marinade,Season with salt and pepper,Let it marinate for 30 minutes,Pre-heat your oven to 400 degrees F,"Prepare a baking sheet and wire rack, place chicken wings in the wire rack and bake for 15 minutes",Brush remaining marinade and bake for 30 minutes more,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Black_Berry_Chicken_Wings-Black_Berry_Chicken_Wings.jpg,True,502.0,39.0,1.8,34.0
118,Awesome Asian Beef Steak,Beef Recipes,10.0,,5.0,,Difficult,3.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,8.0,2.0,0.5,tablespoon of sriracha sauce,"tablespoon of garlic, minced","tablespoon of ginger, freshly grated",yellow bell pepper and red bell pepper cut in thin strips,"tablespoon of sesame oil, garlic flavored and of stevia",a teaspoon of curry powder,a teaspoon of rice wine vinegar,ounce of beef sirloin cut into strips,"cups of baby spinach, stemmed","head of butter of lettuce, torn","Add garlic, sriracha sauce, 1 teaspoon of sesame oil, rice wine vinegar and stevia bowl",Mix well,"Pour half of the mix into zip bag and add steak, allow it to marinade","Assemble the brightly colored salad by layer the vegetables in two bowls in the following order: baby spinach, butter lettuce, two peppers on top",Remove the steak from marinade and discard the liquid,"Heat up sesame oil in skillet over medium heat and add steak, stir fry for 3 minutes",Transfer your cooker steak on top of the salad,Drizzle the other half of your marinade mix,Sprinkle sriracha sauce on top and serve!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Awesome_Asian_Beef_Steak-Awesome_Asian_Beef_Steak.jpg,True,350.0,23.0,4.0,28.0
119,Healthy Avocado Beef Patties,Beef Recipes,15.0,,10.0,,Medium,2.0,1.0,1.0,2.0,,,,,,,,pound of 85% lean ground beef,"small avocado, pitted and peeled",slices of yellow cheddar cheese,Salt as needed,Fresh ground black pepper as needed,,,,,,Pre-heat and prepare your broiler to high,Divide beef into two equal sized patties,Season the patties with salt and pepper accordingly,Broil the patties for 5 minutes per side,Transfer the patties to a platter and add cheese,Slice avocado into strips and place them on top of the patties,Serve and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Healthy_Avocado_Beef_Patties-Healthy_Avocado_Beef_Patties.jpg,True,568.0,43.0,9.0,38.0
120,TheFresh Thai Beef,Beef Recipes,10.0,,10.0,,Medium,4.0,1.0,4.0,0.25,0.25,1.0,1.5,1.0,,1.0,3.0,cup beef stock,tablespoons peanut butter,teaspoon garlic powder,teaspoon onion powder,tablespoon coconut aminos,teaspoons lemon pepper,"pound beef steak, cut into strips",Salt and pepper to taste,"green bell pepper, seeded and chopped","green onions, chopped","Take a bowl and add peanut butter, stock, aminos, lemon pepper and sti",Keep the mixture on the side,Take a pan and place it over medium-high heat,"Add beef, season with salt, pepper, onion, garlic powder",Cook for 7 minutes,"Add green pepper, stir cook for 3 minutes",Add peanut sauce and green onions,Stir cook for 1 minute,Divide between platters and serve,Enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/TheFresh_Thai_Beef-TheFresh_Thai_Beef.jpg,True,224.0,15.0,3.0,19.0
122,Beef Zucchini Chips,Beef Recipes,10.0,,35.0,,Medium,4.0,2.0,1.0,1.0,0.5,,3.0,0.25,0.5,1.5,,"garlic cloves, peeled and minced","teaspoon cumin, coconut oil,  smoked paprika",pound ground beef,"cup onion, chopped",Salt and pepper to taste,"zucchini, sliced lenghtwise, insides scooped out","cup fresh cilantro, chopped","cup cheddar cheese, shredded",cups keto-friendly enchilada sauce,"Avocado chopped, Green onions chopped,  Tomatoes cored and chopped",Take a pan and place it over medium-high heat,Add oil and heat it up,Add onions and stir cook for 2 minutes,"Add beef and stir for a few minutes. Add paprika, salt, pepper, cumin, garlic and stir cook for 2 minutes.","Transfer zucchini halves to baking pan. Stuff each with beef mix, pour enchilada sauce on top.  Sprinkle cheddar.",Bake (covered) for 20 minutes at 350-degree F,Uncover and sprinkle cilantro,Bake for 5 minutes more,"Sprinkle avocado, green onions, tomatoes on top",Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Beef_Zucchini_Chips-Beef_Zucchini_Chips.jpg,True,222.0,10.0,8.0,21.0
123,Juicy Ground Beef Casserole,Beef Recipes,10.0,,35.0,,Medium,6.0,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,20.0,1.0,teaspoons onion flakes,tablespoon glutten-free worcestershire sauce,pounds ground beef,"garlic clove, peeled and minced",Salt and pepper to taste,"cup mozarella cheese, shredded and russian dressing","cups cheddar cheese,shredded","tablespons sesame seeds, toasted",dill pickle slices,"romain lettuce head, torn",Take a pan and place it over medium heat,"Add beef, onion flakes, Worcestershire sauce, salt, pepper and garlic",Stir for 5 minutes,"Transfer to baking dish and add a 1 cup of cheddar, mozzarella cheese, half of dressing",Stir and spread evenly,Arrange pickle slices on top,Sprinkle remaining cheddar and sesame seeds,Transfer to oven and bake for 20 minutes at 350-degree F,Turn oven to broil and broil for 5 minutes,Divide lettuce between serving platters and top with remaining dressing. Enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Juicy_Ground_Beef_Casserole-Juicy_Ground_Beef_Casserole.jpg,True,554.0,51.0,5.0,45.0
124,Majestic Beef And Tomato Squash,Beef Recipes,10.0,,60.0,,Medium,4.0,2.0,,3.0,1.0,28.0,1.0,0.25,0.5,1.0,1.0,"pounds acorn squash, pricked with fork",Salt and pepper to taste,"garlic cloves, peeled and minced","onion peeled and chopped, portobello mushroom sliced","ounces canned tomatoes, diced",teaspoon dried oregano,teaspoon cayenne pepper,teaspoon dried thyme,pound ground beef,"green bell pepper, seeded and chopped",Pre-heat your oven to 400 degree F,"Take acorn squash and transfer to lined baking sheet, bake for 40 minutes",Cut in half and let it cool,Deseed them,"Take a pan and place it over medium-high heat, add meat, garlic, onion and mushroom, stir cook until brown","Add salt, pepper, thyme, oregano, cayenne, tomatoes, green pepper and stir",Cook for 10 minutes,Stuff squash halves with beef mix,Transfer to oven and bake for 10 minutes more,Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Majestic_Beef_And_Tomato_Squash-Majestic_Beef_And_Tomato_Squash.jpg,True,260.0,7.0,4.0,10.0
